food,events,nature,accommodation,attraction
eating_place,carnival,plenty,army_hut,theater
snack,theater,leaping,stoppage,nurse
coffee_bar,bucket_along,pot,take_aim,earth
fineness,hie,dawning,rest,terra_firma
supper,test,sunset,motorcoach,toil
home_plate,scarper,dawn,slacken,house
crustal_plate,circuit,first_light,Nox,shopping_mall
sample,house,tidy_sum,train,fish_tank
snack_bar,Allhallows_Eve,Plantation,transit,labour
lettuce,black_market,agglomerate,bus_topology,fag
tearoom,pyrotechnic,marine,unstrain,memorial
sashimi,leaping,Rand,slack,business_firm
dish_up,theatre_of_operations,reverberate,bed,shopping_center
block_off,run_away,devil_dog,busbar,undercoat
discreetness,rivalry,undermine,bide,common
debar,rush_along,reef,budget,site
mouth-watering,fete,plunk,aim,refinement
Warren_Earl_Burger,belt_along,Marine,Night,enshrine
tasting,solemnization,timber,check,footing
yellow-bellied,contend,leatherneck,retinue,found
collection_plate,demo,tunnel,continue,demo
touchy,view,grove,loose,situation
staff_of_life,feed,honkytonk,rooms,tugboat
buckwheat,enlistment,strait,airport,urban_center
tea_parlor,check,recoil,Department_of_Transportation,picture
glaze,descry,timberland,subway,work_up
bite,rill,knoll,fall_back,pagoda
chicken,footrace,plantation,fare,put_up
lucre,work,wood,cortege,townspeople
airiness,picture,passel,railroad_train,make
kale,festival,mass,resort,ballpark
batter,streamlet,jump,expatriation,tabernacle
dish_antenna,autumn,greenery,hit_the_sack,shopping_centre
beefburger,season,cave,repair,express
Gallus_gallus,die_hard,form,subway_system,prime
delicacy,track_down,spate,room,basis
tang,run,lake,stick,townsfolk
gustatory_organ,competition,island,put_out,hold
plot,rivulet,deal,unlax,garrison
treat,take_to_the_woods,orchard,stamping_ground,palace
season,clean,wad,lodge,construction
lunch,race,pile,hitch,playground
relish,express,natural_spring,shack,evidence
chef,scout,prima_donna,Villa,chronicle
brew,function,parasailing,unwind,apparent_horizon
seafood,carry,aurora,transportation_system,culture
banish,reverberate,volcano,tube,historical
dishful,average,rebound,knoll,Ithiel_Town
plate,showing,hillock,turn_in,hamlet
dinero,carrying_into_action,heap,transport,center
streak,fall,mint,stay_put,aquarium
sense_of_taste,immortalize,hatful,flying,demonstrate
knockout,execution,dive,caravan,settlement
wimp,streak,fountain,refuge,town
serve_up,challenger,J._J._Hill,delay,terrasse
try_out,gainsay,shipboard_soldier,hangout,polish
ticklish,Halloween,lot,last_out,beacon_light
taste_perception,evidence,flock,loosen,fort
falconer,take_exception,spelunk,suite,Town
collation,festive,mess,holiday_resort,run_aground
herbal_tea,Christmas,cumulation,exile,establish
gustatory_modality,hitch,sunrise,ride_out,loom
sweet,computer_program,Hill,civilise,dig
dish_aerial,slipstream,muckle,fledge,parking_area
home_base,recoil,pitcher's_mound,unbend,ramp_up
restaurant,runnel,hummock,string,edifice
Warren_Burger,see,bound,retreat,background
piquant,keep_an_eye_on,sound,hostelry,progress
breadstuff,airstream,valley,Pancho_Villa,plaza
saloon,melt_down,vent,develop,park
eatery,honest,mound,go_to_sleep,place
sweetheart,run_for,woodland,hotel,present
repast,Christmas_Day,drop-off,autobus,primer_coat
snack_counter,demonstrate,daybreak,double-decker,Mungo_Park
sapidity,evenhandedly,sunup,underground,reason
gelt,political_program,cockcrow,direct,castle
luncheon,wintertime,afforest,heap,village
buffet,march,take_a_hop,hillock,point
coffee_shop,temper,woodlet,stay_on,locate
cake,spy,straits,escape,column
dome,backwash,springtime,metro,entertain
dejeuner,trial,break_of_the_day,groom,labor
barroom,platform,cumulus,loosen_up,civilisation
cup_of_tea,discern,batch,recur,mansion
predilection,jump,cliff,transportation,domiciliate
pelf,spot,leap,jalopy,promenade
sideboard,field,falls,wagon_train,display
Warren_E._Burger,establish,vale,pull_away,lighthouse
feeling,memorialize,river,cultivate,testify
spirit,bazar,springiness,underpass,Village
flavor,tour,sundown,decompress,green
discernment,repugn,ricochet,quell,dry_land
flavour,ply,delta,trajectory,seaport
afters,take_in,hammock,haunt,designate
Fagopyrum_esculentum,term_of_enlistment,nosedive,Transportation,show
fragile,tag,good_deal,hummock,historic
serve,remember,peck,sack,gate
block_up,Christmastide,great_deal,pull_back,monument
knock_about,raceway,tableland,charabanc,evince
bean,form,morning,nighttime,grind
cabbage,Noel,beach,mound,synagogue
stripe,catch,hill,DoT,horizon
preference,rival,mickle,prepare,haven
crybaby,contender,diving,retire,grate
simoleons,Yule,waterfall,conveyance,star_sign
counter,lookout,pass,elbow_room,household
moolah,spotted,Reef,go_to_bed,comminute
steamboat,flavor,raft,dark,render
clams,flavour,nautical,crawl_in,tug
BAR,blob,break_of_day,hit_the_hay,commons
yellow,festivity,take_form,halt,city
smell,find_out,Witwatersrand,way,Greenwich_Village
taste_sensation,patched,bounce,hostel,valley
taproom,recognize,mount,appease,web_site
Milk,learn,drop,airdrome,soil
soft,present,resile,aerodrome,tower
barricade,Hallowe'en,sight,detain,predominate
white-livered,wash,saltation,gearing,record
appreciation,spotter,diva,civilize,base
ginmill,natural_spring,slew,make_relaxed,bear_witness
buff,point,quite_a_little,kip_down,township
chickenhearted,broadcast,verdure,resort_hotel,story
brewage,go,James_Jerome_Hill,board,tourer
earthnut,mediocre,give,deportation,harbor
herbal,harden,maritime,shipping,zoological_garden
shekels,promenade,woods,strike_out,skyline
try,draw,stack,abide,fort_up
looker,Olympic_Games,outpouring,flight,theatre
pastry_dough,display,outflow,inn,land
peddler,festal,pitcher,youth_hostel,skyscraper
burger,Yuletide,take_shape,hammock,land_site
teatime,sightly,Benny_Hill,adjourn,terrace
herb_tea,testify,mountain,hutch,bench
stunner,Olympics,Alfred_Hawthorne,educate,build
savoury,move,plunge,arrest,sign_of_the_zodiac
plat,turn_tail,plateau,slow_down,construct
sugar,immortalise,paragliding,move_back,vale
hawker,celebration,forest,trail,towboat
milk,functioning,nose_dive,sack_out,register
pedlar,campaign,spring,relax,Park
wampum,designate,dayspring,coach,moil
fragility,foot_race,burrow,passenger_vehicle,acculturation
scratch,fairish,garden,condition,shrine
tea_parlour,escape,,rail,ground
peach,show,,transferral,holidaymaker
noggin,dramatics,,jitney,primer
teashop,fountain,,motorbus,car_park
goody,course,,recourse,street
savory,evince,,persist,exhibit
penchant,spotty,,student_lodging,pillar
cafe,lam,,drome,fortify
lulu,fly_the_coop,,stop,menagerie
gustatory_perception,head_for_the_hills,,villa,strand
teahouse,Xmas,,hut,resort_area
measure,running_play,,shanty,zoo
blockade,discharge,,omnibus,mall
confect,slate,,auberge,hulk
delicate,fine,,recede,planetary_house
coffeehouse,mollify,,draw_back,firm
taste_bud,funfair,,remain,menage
candy,dispute,,Doroteo_Arango,small_town
plateful,performance,,bus,cranch
beauty,be_given,,entourage,solid_ground
Milk_River,turn,,field_hut,parking_lot
boodle,expo,,stay,internet_site
Browning_automatic_rifle,middling,,hovel,home
nosh,tally,,flight_of_steps,beacon
smasher,lookout_man,,stick_around,convent
Polygonum_fagopyrum,circus,,flight_of_stairs,crunch
meal,duty_tour,,Francisco_Villa,prove
dental_plate,render,,power_train,finish
tiffin,scat,,gear,website
breakfast,sentinel,,discipline,museum
bag,melt,,take,tourist
finespun,ravel,,geartrain,family
bonce,parade,,outride,sensible_horizon
ravisher,ladder,,slack_up,appearance
noodle,custom,,night,repository
dish_out,Dec_25,,withdraw,build_up
pastry,bound,,school,visible_horizon
frail,extend,,transfer,read
saucer,observe,,,vacation_spot
gustation,prevail,,,mash
Camellia_sinensis,tell_apart,,,sign
earth-ball,picket,,,parkland
feel,endure,,,usher
afternoon_tea,just,,,bray
bar,time_of_year,,,priming_coat
home,play,,,craunch
taste,guide,,,civilization
eating_house,bonny,,,harbour
scale,watch,,,drudge
denture,record,,,history
tastebud,day_of_remembrance,,,depict
attic,bear_witness,,,fortress
chocolate_truffle,fair,,,shew
loot,execute,,,logic_gate
block,take_a_hop,,,patio
gustatory_sensation,theatre,,,temple
Burger,commemorate,,,account
lolly,springtime,,,cultivation
dough,gay,,,pharos
nip,operate,,,travail
dainty,ascertain,,,metropolis
prevention,leap,,,show_up
stop,lean,,,anchor
sugarcoat,dramatic_art,,,marine_museum
smack,program,,,building
cuisine,blemish,,,flat_coat
finesse,contest,,,indicate
photographic_plate,spell,,,priming
spicy,field_of_operations,,,shield
legal_community,blot,,,
daintiness,register,,,
look,fleck,,,
dessert,lead,,,
pitchman,springiness,,,
poulet,rebound,,,
volaille,bonnie,,,
exclude,comely,,,
legal_profession,solemnisation,,,
diplomacy,watch_over,,,
tea_leaf,overwinter,,,
perceptiveness,ricochet,,,
dine,step_on_it,,,
tea,mark,,,
dish,exhibit,,,
packman,exhibition,,,
shell,programme,,,
culinary_art,Christmastime,,,
mantrap,range,,,
discretion,hotfoot,,,
truffle,memorialise,,,
relegate,hunt,,,
bread,break_away,,,
zesty,cannonball_along,,,
savor,computer_programme,,,
savour,syllabus,,,
kickshaw,vigil,,,
slightness,challenge,,,
lily-livered,tend,,,
hamburger,sales_event,,,
mouthful,vacation,,,
tone,troop,,,
culinary,Dec,,,
,cut-rate_sale,,,
,look_out,,,
,competitor,,,
,speed,,,
,determine,,,
,pass,,,
,pelt_along,,,
,prove,,,
,jubilation,,,
,theater_of_operations,,,
,unravel,,,
,public_presentation,,,
,December,,,
,anniversary,,,
,appearance,,,
,ticker,,,
,persist,,,
,take_form,,,
,Olympiad,,,
,bounce,,,
,resile,,,
,read,,,
,subspecies,,,
,running,,,
,tradition,,,
,just_the_ticket,,,
,running_game,,,
,exposition,,,
,saltation,,,
,course_of_study,,,
,operation,,,
,usher,,,
,firework,,,
,distinguish,,,
,look_on,,,
,holiday,,,
,dramaturgy,,,
,recognise,,,
,reasonable,,,
,give,,,
,ticket,,,
,depict,,,
,watch_out,,,
,tour_of_duty,,,
,shew,,,
,carrying_out,,,
,hightail_it,,,
,sale,,,
,make_out,,,
,outpouring,,,
,bunk,,,
,hunt_down,,,
,outflow,,,
,rush,,,
,take_shape,,,
,consort,,,
,winter,,,
,sales_agreement,,,
,pick_out,,,
,contention,,,
,show_up,,,
,political_campaign,,,
,curriculum,,,
,follow,,,
,bleed,,,
,spring,,,
,hasten,,,
,bazaar,,,
,concert,,,
,sentry,,,
,fairly,,,
,traditional,,,
,plan,,,
,political_platform,,,
,indicate,,,
,merry,,,
,expose,,,
,espy,,,
,incline,,,
,flow,,,
